Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.34426686549789	0.0568776649167635	0.0108050847457627	1
mcuentas_saldo	0.0487264868694358	0.022134602589493	0.0194915254237288	2
mcaja_ahorro	0.0467915207813564	0.0175717804493377	0.0122881355932203	3
mtarjeta_visa_consumo	0.0461451737351903	0.0461165763789377	0.014406779661017	4
ctrx_quarter	0.0427953069362136	0.0144337420229062	0.00466101694915254	5
mv_status07_delta2	0.0319616600982497	0.00887234019753871	0.00169491525423729	6
cpayroll_trx	0.0301360970121611	0.0429726565049541	0.014406779661017	7
mprestamos_personales	0.0197279049343493	0.0195770374649427	0.0201271186440678	8
foto_mes	0.0188381153006381	0.0220505697332672	0.0338983050847458	9
mdescubierto_preacordado	0.0174222304005437	0.00302313710323974	0.00423728813559322	10
mdescubierto_preacordado_delta2	0.0107959097237679	0.00560348522648566	0.00402542372881356	11
mpayroll_sobre_edad	0.0098303215998017	0.0199452794016364	0.00826271186440678	12
mcuenta_corriente	0.00977672619664939	0.00409046762257034	0.011228813559322	13
cproductos_delta2	0.00969216335269009	0.00662030592294646	0.00572033898305085	14
mprestamos_personales_delta2	0.00862955428898237	0.0240663475991517	0.0135593220338983	15
ccaja_ahorro	0.00723461427474452	0.0133184710087255	0.0122881355932203	16
mpasivos_margen	0.00637953004805171	0.00821433650939619	0.0076271186440678	17
mtarjeta_visa_consumo_delta2	0.00551492393820121	0.000594732463544767	0.00148305084745763	18
mactivos_margen	0.00515147672172185	0.0108141798656254	0.0135593220338983	19
mcomisiones_mantenimiento	0.00453691005869336	0.0135265500475874	0.0120762711864407	20
mpayroll	0.0044117625131278	0.0279054107369174	0.00529661016949153	21
mv_status01	0.00436449051648251	0.00575244536707539	0.00275423728813559	22
tmobile_app	0.00427898081284269	0.00569803893299095	0.00720338983050848	23
mcuentas_saldo_delta2	0.00427265268879984	0.00881650906497892	0.011228813559322	24
mv_status04	0.00421603966156252	0.00027383435310896	0.000423728813559322	25
cproductos_delta1	0.00360399440926098	0.00201710514907947	0.00211864406779661	26
