Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.352158118637467	0.0416416155251634	0.00888463641334062	1
mcuentas_saldo	0.0476111826940293	0.0123900347374469	0.0139420448332422	2
mtarjeta_visa_consumo	0.0435020062984622	0.0269775981939289	0.0101148168398032	3
mcaja_ahorro	0.0423026161974368	0.0131974190456314	0.00820120284308365	4
foto_mes	0.0257741290920995	0.0322538731152084	0.0363586659376709	5
cpayroll_trx	0.0248821423873318	0.0226851224309196	0.00915800984144341	6
mdescubierto_preacordado	0.0190646117969133	0.00255759414235596	0.00437397484964461	7
mprestamos_personales	0.0189123116197264	0.0160388983260878	0.0157189721159103	8
Visa_status	0.0120026516569422	0.00106383129611248	0.000273373428102788	9
mpayroll_sobre_edad	0.0117466805561053	0.0203348803549418	0.0071077091306725	10
mcuenta_corriente	0.00972923499311178	0.00231711614342897	0.00738108255877529	11
ctrx_quarter	0.00939963307649066	0.00222479407581899	0.000820120284308365	12
mpasivos_margen	0.00841623290066309	0.00823550569637525	0.00628758884636413	13
ccaja_ahorro	0.00734386973920777	0.0114418526164119	0.00888463641334062	14
mv_status05_delta1	0.0067779208486091	0.00185056679435354	0.000546746856205577	15
mprestamos_personales_delta1	0.00675261423005222	0.016657930640921	0.00929469655549481	16
mdescubierto_preacordado_delta1	0.00642018377139459	0.0148674599471945	0.00546746856205577	17
mv_status01	0.00631664336578915	0.00529227270917851	0.00205030071077091	18
mv_status07_delta1	0.00596611881978541	0.0016190308532891	0.00150355385456534	19
cproductos_delta1	0.00568483348562217	0.0046754435100506	0.00314379442318207	20
mactivos_margen	0.00514085962400013	0.0096219854474416	0.00997813012575178	21
mv_status04	0.00455071643791757	0.000924883812465521	0.00150355385456534	22
mrentabilidad_annual_delta1	0.00453461967119952	0.00356907624143248	0.0101148168398032	23
ctrx_quarter_delta1	0.00444240929073487	0.00864854669276586	0.0107982504100601	24
mprestamos_personales_lag1	0.00424148897836148	0.00163465425551274	0.00191361399671952	25
mcaja_ahorro_dolares_delta1	0.00419579983111287	0.0093000497652159	0.00779114270092947	26
cliente_edad	0.00397585480594318	0.00635781753972842	0.00970475669764899	27
ccomisiones_mantenimiento_delta1	0.00393991806755491	0.00633262570360838	0.00642427556041553	28
mpayroll	0.00377632104231653	0.0150551207669913	0.00328048113723346	29
ctarjeta_visa_trx	0.00374796562158935	0.00643118273265876	0.00423728813559322	30
cproductos	0.00371176966731209	0.00710689127896864	0.00738108255877529	31
cliente_edad_lag1	0.00370633903552351	0.00613100461795371	0.0101148168398032	32
tmobile_app	0.00357266489378493	0.00399481035216423	0.00601421541826135	33
mv_status07	0.00336610185508967	0.00164422268940915	0.000820120284308365	34
mcuenta_corriente_lag1	0.0032924054730611	0.00283853459312481	0.00656096227446692	35
mcomisiones_mantenimiento	0.00323539374195106	0.0116492838797599	0.0069710224166211	36
cpayroll_trx_lag1	0.00323180657832806	0.00102945261149596	0.00136686714051394	37
mcuentas_saldo_delta1	0.00305629816842178	0.0107191226692161	0.00806451612903226	38
mcaja_ahorro_lag1	0.0028552802635324	0.00359812712989901	0.00628758884636413	39
mtransferencias_recibidas	0.00283955139268218	0.00826266305729117	0.00519409513395298	40
cprestamos_personales_delta1	0.00281795827901886	0.00115489341193023	0.000956806998359759	41
tcallcenter	0.00281470456335947	0.00406983868146031	0.00355385456533625	42
mrentabilidad_annual_lag1	0.00277221976516356	0.00253954443296672	0.00642427556041553	43
Visa_Finiciomora	0.00272413910321209	0.00852102517194328	0.00410060142154183	44
Visa_fechaalta_lag1	0.00256931480995085	0.00116441864747948	0.00273373428102788	45
mv_msaldototal_lag1	0.00256715321588858	0.000488623704475269	0.00177692728266812	46
chomebanking_trx_delta1	0.00247124667231117	0.00625948370213838	0.00628758884636413	47
mrentabilidad_annual	0.00244834415660934	0.0013218478239873	0.0047840349917988	48
mv_Finiciomora_lag1	0.0024399039386408	0.00707269978718982	0.00341716785128486	49
mcuenta_corriente_delta1	0.00243604565192527	0.00605614908204628	0.00642427556041553	50
Visa_mpagominimo	0.00222959050238316	0.0057376548681445	0.00492072170585019	51
chomebanking_trx	0.0022023844969114	0.00294337698168728	0.00601421541826135	52
mv_msaldopesos	0.00216424938022336	0.00105448605367641	0.00218698742482231	53
mcuenta_debitos_automaticos	0.00205389888838175	0.0105305546841289	0.0047840349917988	54
Master_fechaalta	0.00205173274887899	0.00372633262455165	0.00396391470749043	55
mcaja_ahorro_delta1	0.00203755685582415	0.00570289459812805	0.0047840349917988	56
internet_lag1	0.00202988909961446	0.000456570530880976	0.00136686714051394	57
mcuentas_saldo_lag1	0.00198304954821689	0.0108797125247913	0.00437397484964461	58
internet	0.00195320283120629	0.00117820611994872	0.00382722799343904	59
ccaja_seguridad	0.00186455589537707	0.00704729195933397	0.00369054127938764	60
mtarjeta_visa_debitos_automaticos_delta1	0.00180662269764813	0.00652680227410211	0.00519409513395298	61
numero_de_cliente	0.00176495434962479	0.0010687127093418	0.00519409513395298	62
mtarjeta_visa_consumo_delta1	0.00173654909097616	0.00183229389350396	0.00205030071077091	63
mpagomiscuentas	0.00170678100690561	0.00708753841944001	0.00300710770913067	64
Visa_mfinanciacion_limite	0.00160631788909841	0.00670422508562146	0.0047840349917988	65
mactivos_margen_lag1	0.00152613196691718	0.00372663501298179	0.00423728813559322	66
mrentabilidad	0.00151083165274669	0.00106769034845896	0.00369054127938764	67
Master_fechaalta_lag1	0.00150434305666929	0.00780849723440222	0.00396391470749043	68
mcomisiones	0.00142392593002076	0.00333098855104846	0.00355385456533625	69
ccallcenter_trx	0.00142117245136558	0.00408281978478252	0.00396391470749043	70
mactivos_margen_delta1	0.00135667000635108	0.00239141730054781	0.00396391470749043	71
Visa_fechaalta	0.00128547172844857	0.00113418700419052	0.00218698742482231	72
mv_mpagominimo	0.00127474366767525	0.00196738232480444	0.00259704756697649	73
Visa_fultimo_cierre	0.00125809062520639	0.00254752892746719	0.00287042099507928	74
Master_Fvencimiento	0.00125092276335797	0.00121169923844842	0.00355385456533625	75
mv_fechaalta_lag1	0.0012466490893067	0.000777138265446543	0.00314379442318207	76
ctarjeta_master	0.00122573783942859	0.00090584774081608	0.00109349371241115	77
