Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.234880636078329	0.0143036518590405	0.0051418777375738	1
ctrx_quarter	0.0576807504537723	0.0128750813909046	0.00447533803085127	2
mtarjeta_visa_consumo	0.0332529013657461	0.0137993089378558	0.00599885736050276	3
mcaja_ahorro	0.0321331778171522	0.00735859160203856	0.00576080746524472	4
mdescubierto_preacordado_tend6	0.0298571266061339	0.00266141955149872	0.00147590935059989	5
mcuentas_saldo	0.0281895443969444	0.0085890977030369	0.00818891639687679	6
cpayroll_trx	0.0167653429282613	0.0114982212494718	0.00285659874309655	7
foto_mes	0.0164481759668231	0.0191028663380665	0.0149019234431537	8
mv_status07_delta2	0.012524001863698	0.00104870478791976	0.000476099790516092	9
mprestamos_personales	0.0108449314314004	0.0101317414947555	0.00633212721386403	10
mprestamos_personales_min3	0.0100398398510063	0.00393126220863569	0.00252332888973529	11
mv_status01_tend6	0.00924037631869539	0.00624375554861588	0.0015711293087031	12
mpasivos_margen	0.00880391202851028	0.0130282963022225	0.00661778708817368	13
mpayroll_sobre_edad	0.00775457457152441	0.00913301584857813	0.00299942868025138	14
mcuenta_corriente	0.00709144630456888	0.00914483160612618	0.00571319748619311	15
cproductos_tend6	0.00682888666444455	0.0108740231830878	0.00571319748619311	16
mv_status01	0.00663682027913821	0.00314263182469248	0.00128546943439345	17
mprestamos_personales_tend6	0.00607589865291094	0.0129243512510417	0.00547514759093506	18
Master_fechaalta	0.00605646655044214	0.00478858870104318	0.00990287564273472	19
tcallcenter_tend6	0.00601816846861059	0.0137570747478605	0.00728432679489621	20
ccomisiones_mantenimiento_tend6	0.00554914048758803	0.0169341857262287	0.00471338792610931	21
mprestamos_personales_delta2	0.00538024457303027	0.006016664420048	0.00352313844981908	22
cpayroll_trx_min3	0.00535039395597096	0.0054839502346512	0.00123785945534184	23
tmobile_app	0.00512715657146859	0.00300432191165847	0.00318986859645782	24
Visa_cconsumos_avg6	0.0050305883877909	0.0100629815173315	0.0118548847838507	25
numero_de_cliente	0.00486845668381455	0.00591094784561595	0.0117120548466959	26
mcuenta_corriente_tend6	0.00477274438085343	0.00466186260038772	0.00852218625023805	27
Visa_fultimo_cierre_avg6	0.00470776363186435	0.00631419964966195	0.0109979051609217	28
Visa_status_tend6	0.00459218757892649	0.00072560516679715	0.000380879832412874	29
mcaja_ahorro_dolares_delta1	0.00456609525467322	0.00792655136862777	0.00737954675299943	30
mtransferencias_emitidas_avg6	0.00456570666519152	0.00482629827947107	0.00785564654351552	31
Visa_cconsumos_tend6	0.00437960032936157	0.00611917746192149	0.00871262616644449	32
ccaja_ahorro	0.00434524857361253	0.00409577856429974	0.00285659874309655	33
mv_mpagominimo_lag2	0.0042448042394567	0.00551495021078438	0.00509426775852219	34
Master_fechaalta_min3	0.00416271374976748	0.00524330880205026	0.00923633593601219	35
mdescubierto_preacordado	0.00415593322536448	0.00130844303947673	0.00185678918301276	36
mactivos_margen_min3	0.00411321668772062	0.00573818230957554	0.00680822700438012	37
mrentabilidad_annual_tend6	0.00403981897538227	0.00617907646156551	0.00847457627118644	38
mv_msaldototal	0.00384930363062073	0.00382339425871837	0.00366596838697391	39
chomebanking_trx_delta1	0.00381744146069628	0.00939044809453682	0.00780803656446391	40
mcuentas_saldo_tend6	0.00379000768986843	0.00612406511810211	0.00661778708817368	41
mcomisiones_mantenimiento_tend6	0.0036923211041887	0.0105380489242955	0.00690344696248334	42
mrentabilidad_annual_min3	0.00367686270059787	0.00378844113013099	0.00709388687868977	43
cproductos	0.00364387505392337	0.00826304666367043	0.00480860788421253	44
canarito4	0.00363073747769571	0.00433200631563166	0.00995048562178633	45
ctarjeta_visa_trx	0.0036008694571196	0.00368478180850674	0.00280898876404494	46
canarito23	0.00356618859568964	0.00903053642194658	0.0098076556846315	47
Master_mfinanciacion_limite	0.00352731155397098	0.00577581121142273	0.00790325652256713	48
mcuentas_saldo_min3	0.00352497353178433	0.0104971156441638	0.00571319748619311	49
cliente_edad	0.00346516753125352	0.00388089649161081	0.00676061702532851	50
cliente_edad_lag2	0.0034622541615091	0.00453497514657086	0.0072367168158446	51
mactivos_margen_avg6	0.0034517013066093	0.004848484339163	0.00628451723481242	52
canarito27	0.00340873155011479	0.00367676121177569	0.00918872595696058	53
mactivos_margen	0.003408592703034	0.00386808236137663	0.00576080746524472	54
Visa_mfinanciacion_limite	0.00339816563659573	0.00590732076100874	0.00780803656446391	55
Master_Fvencimiento_tend6	0.00336118126432692	0.0031928866114189	0.00628451723481242	56
ctarjeta_visa_trx_tend6	0.00334019079607424	0.00578465202005754	0.00509426775852219	57
mrentabilidad_avg6	0.00333462139627997	0.00467517087467868	0.00604646733955437	58
ctrx_quarter_delta1	0.00331822740456272	0.00281432856411486	0.00680822700438012	59
Visa_Finiciomora	0.003312383257717	0.00576118185812284	0.0020472290992192	60
mactivos_margen_tend6	0.0033020745057721	0.00682160491938897	0.00756998666920587	61
mv_fechaalta_delta2	0.00325044833832629	0.00738594096289516	0.00295181870119977	62
mv_status04	0.00324480111910999	8.77324199847992e-05	0.000380879832412874	63
mrentabilidad_annual	0.00322360657212145	0.00564185783374641	0.00595124738145115	64
mcaja_ahorro_lag1	0.00315353920381222	0.00223656995449505	0.00552275756998667	65
ccomisiones_otras_tend6	0.00314516214549196	0.00966853690667837	0.0087602361454961	66
canarito1	0.00312607195934308	0.00621254379645837	0.00895067606170253	67
Visa_mfinanciacion_limite_min3	0.0030938245799417	0.00627778089652523	0.00714149685774138	68
mcuenta_corriente_delta2	0.0030907125932301	0.00317029380729928	0.00480860788421253	69
mv_mpagominimo	0.00305341360181688	0.00526878915545402	0.00452294800990288	70
internet	0.003040701991558	0.00426714906779892	0.00323747857550943	71
canarito14	0.00303570018059699	0.00277968469575349	0.00837935631308322	72
mcuentas_saldo_delta2	0.00301209938893881	0.00210584700157084	0.00552275756998667	73
mcomisiones_mantenimiento	0.002994422269428	0.00358060145063215	0.00347552847076747	74
canarito31	0.00299302747253912	0.00686601401553898	0.00885545610359931	75
