Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.265902622367588	0.0163712507543907	0.0027081290563571	1
mcuentas_saldo	0.0370177411907866	0.00913577462570345	0.00602325255638045	2
mtarjeta_visa_consumo	0.0301136108149513	0.0131939045559026	0.00396880982397161	3
mcaja_ahorro	0.0264460951380176	0.005663308943423	0.00373535042256152	4
cpayroll_trx	0.018203788212861	0.0104013229463458	0.00275482093663912	5
mprestamos_personales	0.0161126839234798	0.0124837434739527	0.00583648503525237	6
ctrx_quarter	0.0154755948949585	0.00267826055415363	0.00149414016902461	7
mv_status01_tend6	0.0137827106145587	0.002540849993678	0.000793761964794322	8
foto_mes	0.0128781956128731	0.0153186553212951	0.0107391324648644	9
mdescubierto_preacordado_tend6	0.011409783621641	0.00304855000411412	0.00168090769015268	10
mv_status07_delta2	0.0110393694098731	0.001851869676037	0.00046691880282019	11
mpasivos_margen	0.0104166380333032	0.00252563013290118	0.00289489657748518	12
mdescubierto_preacordado	0.0103353574266941	0.000384914784925719	0.000747070084512303	13
mpayroll_sobre_edad	0.0100498271530315	0.00783808436223639	0.00214782649297287	14
mcuenta_corriente	0.00674400240664707	0.00214273360665166	0.00364196666199748	15
mprestamos_personales_tend6	0.00645167140042988	0.00820492556248963	0.00350189102115142	16
cproductos_tend6	0.00584872915248483	0.00919784937860037	0.00350189102115142	17
ccomisiones_mantenimiento_tend6	0.00462552307274906	0.00338421927734048	0.00312835597889527	18
mactivos_margen	0.00434087215990657	0.00539028078715618	0.0046691880282019	19
ccaja_ahorro	0.00386248289559876	0.00390005177506257	0.00252136153522902	20
tcallcenter_tend6	0.00360895150772211	0.00821808648650841	0.00303497221833123	21
tmobile_app	0.00338854662462221	0.00535016594028963	0.00284820469720316	22
mprestamos_personales_delta2	0.00318711321088346	0.00474729486375008	0.00163421580987066	23
mcomisiones_mantenimiento_tend6	0.00313409088497601	0.00782955448138162	0.00415557734509969	24
cproductos_delta2	0.00313201229417447	0.00211249414642402	0.000980529485922398	25
Visa_status_tend6	0.00298391218764082	0.000398103870693465	9.33837605640379e-05	26
mcuentas_saldo_tend6	0.00297102806378787	0.00206276362682574	0.00373535042256152	27
ctarjeta_visa_trx	0.00276564486009146	0.00498855969626164	0.00238128589438297	28
mv_status04	0.00275179605562743	7.49916084246235e-05	0.000186767521128076	29
cpayroll_trx_lag1	0.0027463748430487	0.00148741283719658	0.000513610683102209	30
cliente_edad	0.00271745847503346	0.00442146655724722	0.00424896110566373	31
mv_status01	0.00268487447663163	0.00125728128277793	0.000560302563384227	32
mpayroll	0.00264998683561906	0.00775172792356065	0.00135406452817855	33
Visa_Finiciomora	0.0025149759725925	0.00608212108685927	0.00182098333099874	34
mcuentas_saldo_delta2	0.00246400093683593	0.00231753671159338	0.00373535042256152	35
mrentabilidad_annual_tend6	0.00245658095913792	0.00383879684196901	0.00387542606340757	36
cliente_edad_lag2	0.00244204173062235	0.00293970484434401	0.00471587990848392	37
mv_fechaalta_delta2	0.00243642121755635	0.00211388658845644	0.00140075640846057	38
cproductos	0.0024100334511686	0.00292485108630379	0.00233459401410095	39
Visa_fechaalta_tend6	0.00235801477897655	0.00742851865971203	0.00289489657748518	40
ctarjeta_visa_trx_tend6	0.00231151324282386	0.00225387864258768	0.00224121025353691	41
mcuenta_corriente_delta2	0.00225999621162001	0.0023095857111341	0.00359527478171546	42
mcaja_ahorro_dolares_delta1	0.00218941083063686	0.00334423585196913	0.00238128589438297	43
mactivos_margen_avg6	0.00215371437837469	0.00490175892776882	0.00312835597889527	44
mtarjeta_visa_consumo_delta2	0.00213522552698476	0.00135677048372347	0.00140075640846057	45
mcuentas_saldo_delta1	0.00212091658963488	0.00505296248707345	0.00382873418312555	46
internet_lag1	0.00211704786154816	9.37191714898564e-05	0.000747070084512303	47
mrentabilidad_annual_delta2	0.00206324182417355	0.00334250546894907	0.0034551991408694	48
mv_mpagominimo_lag2	0.00202540933548105	0.000849787033344487	0.00107391324648644	49
canarito54	0.00198277142155443	0.00722103540963191	0.00527618247186814	50
mcuenta_corriente_tend6	0.00195493507257627	0.0028073102042683	0.00420226922538171	51
mcuenta_corriente_avg6	0.00194522923254911	0.00356987404288541	0.00340850726058738	52
mcomisiones_mantenimiento_avg6	0.00193780806221223	0.0021767936774896	0.00261474529579306	53
mrentabilidad_avg6	0.00189418806567865	0.000908194500708837	0.00238128589438297	54
mtransferencias_emitidas_avg6	0.00187296157409253	0.00132122096927333	0.00284820469720316	55
mcomisiones_mantenimiento	0.00182876803268622	0.00456123644646991	0.00224121025353691	56
Visa_cconsumos_avg6	0.00181449551949529	0.00107982158618335	0.00284820469720316	57
mtransferencias_recibidas	0.00180893294306096	0.00302436219083187	0.00238128589438297	58
mv_msaldototal	0.00177937567937948	0.00120841126106485	0.000840453845076341	59
ctrx_quarter_delta1	0.00174331518648324	0.00269470075738583	0.00266143717607508	60
canarito5	0.00173571293684701	0.00119550692187002	0.00420226922538171	61
chomebanking_trx_delta1	0.00172852897156561	0.00305008012580817	0.00322173973945931	62
canarito71	0.00172455406673961	0.00326189402706327	0.00494933930989401	63
canarito62	0.00172209192612302	0.00194630540758399	0.00457580426763786	64
canarito3	0.00171729961280052	0.00180068726182514	0.00452911238735584	65
mv_Finiciomora_lag1	0.00171227496545573	0.00351095340587316	0.00112060512676845	66
canarito10	0.00170380736694062	0.00410114543720965	0.00490264742961199	67
mcuenta_corriente_lag2	0.00167795514066436	0.00251104547601779	0.00284820469720316	68
canarito84	0.00167426499018175	0.00296178678461992	0.00420226922538171	69
mrentabilidad_annual	0.00165376915471132	0.00203907020869208	0.00219451837325489	70
canarito52	0.00164969323593456	0.00357290299544133	0.00429565298594574	71
canarito76	0.00162011171813415	0.00139576511879765	0.00438903674650978	72
canarito45	0.00161801285816456	0.00097780408599692	0.00462249614791988	73
mautoservicio	0.00159883795706061	0.00214965200964869	0.000747070084512303	74
canarito7	0.0015979120503063	0.0033439667508123	0.00452911238735584	75
mcuenta_debitos_automaticos	0.00159181872424073	0.00390583119176792	0.0019610589718448	76
canarito20	0.00158532998914627	0.0013500773747182	0.00401550170425363	77
cpayroll_trx_lag2	0.00157865701184001	1.97632896106952e-05	4.6691880282019e-05	78
canarito65	0.00156344385042288	0.00629970814665327	0.00415557734509969	79
mactivos_margen_tend6	0.00155624679457781	0.00426801318710819	0.00350189102115142	80
canarito58	0.00155027774404452	0.00145103411569342	0.00406219358453565	81
canarito38	0.00154600343619569	0.00119404564000679	0.0046691880282019	82
