Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.146488106109449	0.0078008899065079	0.00395220222543468
ctrx_quarter	0.0662922995570419	0.00682571014775212	0.00377979071895598
mcaja_ahorro	0.0542738432775791	0.0062803229396656	0.00645880028116338
mtarjeta_visa_consumo	0.052633238775767	0.0103977320088092	0.00664447421121736
mcuentas_saldo	0.0468426267775837	0.0134461765027427	0.0115780957812231
mdescubierto_preacordado	0.0230926465068919	0.00161645741728227	0.00112730600389915
cpayroll_trx	0.0195362050681927	0.00883543693711778	0.00306361984589064
mv_status07	0.0182354789925685	0.000369307528724417	0.000185673930053978
foto_mes	0.0155870066883493	0.0274596333790882	0.0181695202981393
ctarjeta_visa_trx	0.0150330282165555	0.00520584872324516	0.00527844458296309
mprestamos_personales	0.0150111058524032	0.0107702077761154	0.00490709672285514
mpayroll	0.0134758541303378	0.0101252968090464	0.00395220222543468
mprestamos_personales_mean6	0.0127361620986604	0.0038137549944362	0.0030105701515895
mpasivos_margen	0.0126366548291959	0.00496804905158173	0.00404503919046167
mdescubierto_preacordado_delta1	0.0122621679075926	0.00676127757456213	0.00187000172411506
mcuenta_corriente	0.0108969420411835	0.00415094838565435	0.00685667298842191
Visa_status_mean6	0.0101830450902145	0.00278731608383406	0.000769220567366481
cproductos_delta1	0.00956929010154987	0.00479169774456933	0.00122014296892614
mv_status01_mean6	0.00951504692754031	0.00199499023866542	0.00116709327462501
mpayroll_sobre_edad	0.00917782273215686	0.00799599847707985	0.00315645681091763
mdescubierto_preacordado_mean6	0.00624807743900656	0.00284768711917564	0.00225461200779831
mv_status07_delta1	0.00526264701498561	0.000462062885623233	0.000172411506478694
Visa_Finiciomora_mean6	0.00520234492713543	0.00225439054487653	0.00107425630959802
mactivos_margen	0.00503241484958202	0.00637430552922847	0.00730759538998157
mv_Finiciomora	0.00491735619645863	0.00855370668997648	0.00205567565416904
mpasivos_margen_mean6	0.00475490588802724	0.00171546650423099	0.00322276892879405
Visa_Finiciomora	0.00462760866768367	0.00627380820685647	0.00137929205182955
mcaja_ahorro_dolares_delta1	0.00452835963053454	0.00849646324145952	0.00436333735626848
Visa_msaldopesos	0.0044576069930071	0.00284995131811182	0.0029309956101378
cprestamos_personales_mean6	0.00441709357541454	0.00361927288823034	0.00263922229148155
cprestamos_personales	0.0042498083007387	0.00128777606516493	0.00118035569820029
mcaja_ahorro_lag1	0.00410020997403005	0.00286068228487375	0.00507950822933383
mcuenta_corriente_mean6	0.00406510865688597	0.00581209143860907	0.0086205753239347
mprestamos_personales_delta1	0.00394199373396342	0.011813813912229	0.00441638705056962
mrentabilidad_mean6	0.00391617113242196	0.00198676639973523	0.00344823012957388
Visa_status	0.00378183699660537	0.000691348439402809	0.000278510895080967
mactivos_margen_mean6	0.00373214817687045	0.0031582206376274	0.00450922401559661
mv_status05_delta1	0.00364506557775084	0.00168576254242535	0.000464184825134945
mv_status01	0.00358677758146264	0.000685288844591059	0.000397872707258524
mv_msaldototal	0.0035648343012921	0.000779325136049086	0.0015914908290341
ccaja_ahorro	0.0035474525891282	0.00788897389145653	0.00248007320857814
ctrx_quarter_mean6	0.00332177291304321	0.00175141426412314	0.00220156231349717
mcuenta_corriente_lag1	0.00326493150376865	0.00230988296514784	0.0040980888847628
ctrx_quarter_delta1	0.00322169514203034	0.00288453782157793	0.00505298338218326
mv_msaldopesos	0.00319456156672309	0.00125971607427849	0.00161801567618467
mcomisiones_mantenimiento	0.00317646596736157	0.00696383852458128	0.00496014641715627
mprestamos_personales_lag1	0.00314555758136126	0.00131010017395381	0.00111404358032387
ctrx_quarter_normalizado_delta1	0.0031392107008644	0.00339679592633989	0.00484078460497871
mautoservicio	0.00312281510936927	0.00382356355896901	0.00179042718266336
mv_status04_delta1	0.00304996000451568	0.00324693599517984	0.0010079441917216
ccomisiones_mantenimiento_delta1	0.00299742426271957	0.00319607296699016	0.00164454052333523
mrentabilidad_annual_delta1	0.00298301052239773	0.00521067819819418	0.00783809233299293
cproductos	0.00297889282847595	0.00667064973661475	0.00600787787960372
mv_mpagospesos_mean6	0.00297871087275606	0.00156862346469879	0.00181695202981393
Master_status_mean6	0.00290897210286229	0.000574178641882472	0.000397872707258524
mcaja_ahorro_mean6	0.00286801661318151	0.00433260647929889	0.00591504091457673
cliente_edad_mean6	0.00281284387872393	0.0059516041117096	0.00795745414517049
mv_status02_mean6	0.0026848223810093	0.00131796675092133	0.000968156920995743
cliente_edad_lag1	0.0025429421231121	0.00515232762447757	0.00763915597936367
mtransferencias_recibidas	0.00251190524109519	0.00528827166228559	0.00399198949616053
thomebanking_mean6	0.00249431072515628	0.00210992921326613	0.0031829816580682
ccomisiones_mantenimiento	0.0024226642062431	0.00446816911816342	0.0015914908290341
mv_Finiciomora_mean6	0.0023711201472709	0.0023400019906334	0.00131297993395313
ccomisiones_mantenimiento_mean6	0.00232435513296806	0.00645094564032108	0.00438986220341905
mcuentas_saldo_delta1	0.00232175587580331	0.00754122085984515	0.00550390578374292
mrentabilidad_annual_mean6	0.00231210086188555	0.00414367616740378	0.00590177849100145
cliente_edad	0.00230097331263891	0.00554740293932521	0.00748000689646026
mcuentas_saldo_mean6	0.00226818092753931	0.00182183217337525	0.00400525191973581
mv_status06_mean6	0.00222776963716664	0.000108524889537015	0.000145886659328126
ctrx_quarter_normalizado_mean6	0.00222253594314621	0.00119263426533851	0.00164454052333523
mcomisiones_mantenimiento_mean6	0.00215207679154267	0.00189468624311595	0.00335539316454689
mtransferencias_emitidas_mean6	0.00214757113804884	0.00363589304733888	0.00531823185368894
ccallcenter_trx	0.0021175584829318	0.00552685312960322	0.00228113685494887
thomebanking	0.00193170843260924	0.00223416335073324	0.00205567565416904
mv_status04	0.00188463886526111	0.000634373327129666	0.000291773318656251
cpayroll_trx_mean6	0.00187384184030191	0.000978738635316806	0.00102120661529688
mcuentas_saldo_lag1	0.00183240828836373	0.00529363474929167	0.00478773491067758
tcallcenter	0.00182678839657197	0.00140040597376223	0.0010079441917216
Master_status	0.00182419158712265	0.000444104914141796	0.000265248471505683
mcuenta_corriente_delta1	0.00181593749081625	0.00359844261603014	0.00371347860107956
mcuenta_debitos_automaticos	0.0017720427475371	0.00705029297460402	0.00311666954019178
mcaja_ahorro_delta1	0.00174271616398289	0.00650051110368725	0.00425723796766621
mtarjeta_visa_debitos_automaticos_mean6	0.00173521070907077	0.00262464207207609	0.00383284041325712
mcomisiones_mean6	0.00165601957961028	0.0015659182750387	0.00316971923449291
mcomisiones_otras_mean6	0.00164749923737627	0.00244555577951337	0.00322276892879405
mv_mpagospesos	0.00163465521536637	0.000790026018200947	0.00116709327462501
chomebanking_trx_delta1	0.00163090109862778	0.00648574071501867	0.00363390405962786
Visa_cconsumos_mean6	0.00162125895945995	0.00306493750081283	0.00372674102465485
Visa_fechaalta_lag1	0.00161182630432508	0.00286985861064315	0.0032625561995199
mrentabilidad_annual_lag1	0.00159646521539042	0.00183002338696053	0.00433681250911792
ccaja_ahorro_mean6	0.00156106750435132	0.00267643558665116	0.00193631384199149
ctransferencias_recibidas_mean6	0.00154982450450182	0.00284611099742503	0.00454901128632246
Visa_mpagospesos_mean6	0.00154954846219978	0.00381852343400547	0.00396546464900996
mv_mpagominimo	0.00154042141469653	0.00332184777140828	0.00279837137438496
ctarjeta_visa_debitos_automaticos_mean6	0.00153899768708845	0.00583894729442075	0.00416440100263922
tmobile_app	0.00148034953235356	0.00110615937394923	0.00241376109070171
numero_de_cliente	0.00147711318179303	0.00254621137811613	0.00481425975782815
mrentabilidad	0.00145914986769516	0.00238832312911941	0.00372674102465485
cproductos_mean6	0.00142324148691444	0.00270605287475292	0.00446943674487076
Master_fultimo_cierre_mean6	0.00141588272396526	0.00183012357275417	0.0042705003912415
mactivos_margen_lag1	0.00140938786062085	0.00257289273164057	0.00428376281481678
