experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 030332	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200448183496638	0.616036845490984	23	7174	1217	0.0249313594824304	7986	14814000	23
8101HTa	20220701 030538	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200512750812447	0.579901712295384	18	55	668	0.0143919592633482	12008	14392000	24
8101HTa	20220701 030818	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200357799043378	0.699716493521171	149	4016	355	0.0203248747685653	9356	13684000	25
8101HTa	20220701 030915	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200095620800884	0.100690729067373	17	7554	885	0.0137558514582638	12374	14626000	26
8101HTa	20220701 031035	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200150532857309	0.103334157406113	16	2342	1570	0.0174236528122796	10196	14524000	27
8101HTa	20220701 031207	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200081302058789	0.194960918369239	192	5250	495	0.0156000247049381	11118	14922000	28
8101HTa	20220701 031312	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200114222711258	0.396134633119756	16	6911	353	0.014098834917951	12398	14362000	29
8101HTa	20220701 031411	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200307300163871	0.10031321348934	511	5628	417	0.0209409944955715	9344	14656000	30
8101HTa	20220701 031601	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200010160121615	0.539014707535179	150	1908	330	0.0194751627929133	9194	14566000	31
8101HTa	20220701 031741	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020143020956432	0.503867449575153	16	2777	635	0.0165793193558061	10760	14560000	32
8101HTa	20220701 031900	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0542289958117585	0.659029313234348	16	3114	460	0.0206492152300077	9384	14616000	33
8101HTa	20220701 032003	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0202156391015688	0.100061902199468	232	6592	494	0.0217817632056105	9008	14872000	34
8101HTa	20220701 032203	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0347628783856651	0.6532102052787	19	1371	819	0.0166916652680415	10674	14646000	35
8101HTa	20220701 032258	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020023573848637	0.100862487104892	205	1442	317	0.0168274500932253	10648	14912000	36
8101HTa	20220701 032418	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200195073957385	0.16825753499123	251	3022	447	0.0196533821410058	8986	13694000	37
8101HTa	20220701 032536	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200862923546547	0.10021641449882	168	6671	721	0.0158839721643946	11108	14572000	38
8101HTa	20220701 032757	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.021081635073277	0.10001102820814	209	7499	850	0.0181182180828496	9892	15068000	39
8101HTa	20220701 032902	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0271517477288703	0.115358017540929	419	6850	257	0.0182493524608583	10720	15200000	40
8101HTa	20220701 032942	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0485392896889747	0.100027359924104	392	7839	283	0.019665913872017	9826	14534000	41
8101HTa	20220701 033045	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0201383979007164	0.101716072536328	438	3924	404	0.0198655970050929	9638	14482000	42
8101HTa	20220701 033346	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0206316350755323	0.253873068822017	410	7376	1348	0.0145412444867102	9444	14196000	43
8101HTa	20220701 033500	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.033033043917249	0.280192974320235	192	7843	312	0.0270251586372461	7394	13126000	44
8101HTa	20220701 033601	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0305128866330735	0.134034493043955	487	7989	456	0.0140212032803481	12094	14666000	45
8101HTa	20220701 033658	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0203757333499263	0.196197697314328	64	7582	355	0.0128376876254166	13294	14546000	46
8101HTa	20220701 033738	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0352690082069178	0.113014284244283	211	7967	247	0.0185589157914278	10378	15182000	47
8101HTa	20220701 033839	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0478805980068923	0.465886228151155	96	4198	166	0.0231149308414146	8676	14124000	48
8101HTa	20220701 033937	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0253386134553818	0.116392546461027	371	7994	435	0.0198339630423962	9730	14750000	49
8101HTa	20220701 034029	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0319412833569928	0.105270420756038	424	7848	442	0.0169600372033095	10884	14796000	50
8101HTa	20220701 034134	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.028282381315384	0.143208571773218	410	2536	306	0.0184410139595167	9336	14664000	51
8101HTa	20220701 034224	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0412880474336063	0.119406366638089	418	5685	346	0.0233694887551706	8370	14550000	52
8101HTa	20220701 034310	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0280663241580181	0.100809356716424	211	5471	279	0.0242216539348234	8402	13798000	53
8101HTa	20220701 034351	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0361593886566379	0.117184431870345	370	7205	250	0.0211335895615998	9494	15106000	54
8101HTa	20220701 034523	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0202680615781486	0.138471225065513	249	7330	822	0.0168279186306503	10326	14874000	55
8101HTa	20220701 034737	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0272064982080173	0.113598839251677	586	6289	665	0.0129961964517408	12022	15338000	56
8101HTa	20220701 034852	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.027001797796481	0.100025057867812	552	1040	442	0.0098487536059761	10312	14288000	57
8101HTa	20220701 034942	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0270167096671311	0.174691264672879	544	5780	211	0.0159597464582489	11542	14858000	58
8101HTa	20220701 035025	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0389399799586206	0.101873761382319	221	7998	318	0.0187667125824869	10114	14966000	59
8101HTa	20220701 035110	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0271928853033986	0.116346049798727	764	6717	255	0.0167977073957902	11524	14996000	60
8101HTa	20220701 035206	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0228812536303741	0.100274028724683	453	7068	436	0.0178049703197256	10514	15046000	61
8101HTa	20220701 035346	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0256844655654163	0.620506941318775	61	2631	341	0.0203214345721002	9298	13982000	62
8101HTa	20220701 035458	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0292244358192966	0.121086170354303	652	4854	565	0.0148131149132248	10688	14512000	63
8101HTa	20220701 035652	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0449882957288103	0.652935692429629	28	2128	719	0.0184611785756463	9540	14700000	64
8101HTa	20220701 035741	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0362642632994003	0.145998360934348	390	1438	128	0.0191203053562357	9572	15268000	65
8101HTa	20220701 035900	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0217151061862331	0.111047344731012	353	829	589	0.0123730319954157	9320	14320000	66
8101HTa	20220701 035937	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0363379734666892	0.126666990407491	223	1102	155	0.0147312029135982	11508	14532000	67
8101HTa	20220701 040032	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0355482087610048	0.157121021111237	475	2321	201	0.0214679406670146	8434	14006000	68
8101HTa	20220701 040213	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0245803513701995	0.126094601296554	593	7764	513	0.0185516095776967	10178	15622000	69
8101HTa	20220701 040257	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0456933453548318	0.165169068418731	355	62	216	0.00761811662961596	11234	14446000	70
