experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 043354	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0499783004690722	0.732776600940012	80	7655	197	0.0184413184320654	9974	14866000	96
8101HTa	20220701 043513	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0553034701482124	0.754409115458361	272	7835	100	0.0223368216577778	8904	13776000	97
8101HTa	20220701 043721	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0508803939408145	0.607387037266966	67	7976	474	0.0195008384179131	8972	15028000	98
8101HTa	20220701 043816	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0567270773946032	0.531543580065634	124	7970	63	0.0250196637938742	8320	13640000	99
8101HTa	20220701 044026	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0426714043475894	0.657796891980275	115	7512	339	0.0194159175200506	9114	13686000	100
8101HTa	20220701 044210	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0629937951923679	0.99957223460903	87	7877	248	0.0196904148856316	9178	13142000	101
8101HTa	20220701 044327	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0809930180834805	0.842165938977169	209	2958	86	0.015690420551427	10588	14252000	102
8101HTa	20220701 044439	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0742018627401752	0.905015621120355	349	43	112	0.00606230304969514	10954	13286000	103
8101HTa	20220701 044519	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0879722906922636	0.922454141918217	92	912	25	0.0143237408513301	10620	14220000	104
8101HTa	20220701 044622	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0936933060764207	0.793712407599659	168	7866	43	0.0191432779933877	10416	13944000	105
8101HTa	20220701 044805	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0262435175174118	0.308638142813139	756	5840	510	0.0158119902519565	10468	14372000	106
8101HTa	20220701 045013	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0229336059771348	0.101531934862625	924	7117	1461	0.0113031883497891	11654	13786000	107
8101HTa	20220701 045125	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0797251852249331	0.872692494684014	22	3159	385	0.0141256996170585	11344	14816000	108
8101HTa	20220701 045219	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0842106690995424	0.794757168792772	53	6004	65	0.0231084120459551	8924	14236000	109
8101HTa	20220701 045310	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0817504360674392	0.996862480455831	16	3591	211	0.0210693684391763	9190	14330000	110
8101HTa	20220701 045455	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0234937080069341	0.101296943528579	580	7766	1180	0.0170016160110461	9622	14378000	111
8101HTa	20220701 045533	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0374816305919578	0.113425396544983	540	7455	216	0.0201586573912715	9692	14908000	112
8101HTa	20220701 045655	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0326866478401893	0.126117518270967	473	7798	784	0.0232421789763971	7472	13288000	113
8101HTa	20220701 045916	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0612441381099075	0.969354339546012	684	26	272	0.000254592191562255	12530	12430000	114
8101HTa	20220701 050014	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144227177940216	0.734236518382677	548	6453	30	0.0161514711077945	11150	14290000	115
8101HTa	20220701 050118	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.115639491814561	0.718817888564453	807	5455	33	0.0186548310283698	10120	15080000	116
