Feature	Gain	Cover	Frequency
ctrx_quarter	0.0547392007065566	0.00733510392318425	0.0080091533180778
ctrx_quarter_normalizado_rank	0.0501119547576948	0.0111016345437628	0.0115498793988497
mv_status01_tend6	0.0447227975842314	0.00633599804234987	0.00265940998206444
ctrx_quarter_normalizado	0.0407243804984659	0.00814409091391879	0.0085348506401138
ctrx_quarter_rank	0.0397427518465898	0.00886330420312033	0.00933885830911003
mcaja_ahorro	0.0360861327368779	0.00812623388217815	0.0108695652173913
mpasivos_margen	0.0254818034213272	0.0128656071020206	0.0109314119611602
mv_status01_rank	0.022613719441854	0.00865688945886637	0.0167450058754407
mdescubierto_preacordado_tend6	0.0185758148409533	0.00608204495988223	0.000958624528418579
mv_status01	0.0183554712951334	0.0057563021133891	0.00160801533799245
mcuentas_saldo_min3	0.0165121825835845	0.0110697882959033	0.0111014905065248
mtarjeta_visa_consumo_rank	0.01548956083919	0.00741179508966001	0.00813284680561569
mprestamos_personales_min3	0.0150154611408791	0.00732504331321186	0.00352526439482961
mcaja_ahorro_rank	0.0148880647080198	0.0076277866341388	0.0105912548704311
mcaja_ahorro_lag1	0.0146919676666585	0.00926915298699782	0.0117818046879832
mtarjeta_visa_consumo	0.0141150697468973	0.0069976637077256	0.00790092151648216
mpayroll_sobre_edad_rank	0.0136302858947022	0.00932843010864641	0.00804007668996227
mcuentas_saldo	0.0130022892207001	0.0114122722020962	0.0129723545055353
mdescubierto_preacordado_rank	0.0128605250642922	0.00721235202759851	0.0113952625394273
ctarjeta_visa_trx_rank	0.0128457009991134	0.00749471262578833	0.00938524336693673
mcuenta_corriente	0.0127975022818575	0.00664951415421358	0.0079627682602511
mpayroll_sobre_edad	0.0116752953610689	0.00944495489503549	0.00443750386542149
mdescubierto_preacordado	0.0109415772456361	0.0019185883028526	0.000881316098707403
mcuenta_corriente_rank	0.0102813275522611	0.00650260904427197	0.00961716865607026
cproductos_tend6	0.00990170262275607	0.0101691543384407	0.00360257282454079
foto_mes	0.00969631949821715	0.0146152934432507	0.0106685633001422
mcaja_ahorro_avg6	0.00908746840572165	0.00685879803374216	0.0100037108046261
mv_mpagominimo	0.00844473455017366	0.00982246449706527	0.00995732574679943
mv_mpagominimo_rank	0.00836851971843749	0.0124025238172875	0.0143020594965675
mactivos_margen_min3	0.00823114458232911	0.00871664846744787	0.0110551054486981
mcuenta_corriente_tend6	0.00800918304209895	0.00957215928980527	0.0120446533490012
mactivos_margen	0.00789069075685626	0.00913248997114975	0.0114725709691385
mv_status07_delta2	0.00784458666139874	0.00434919300881692	0.00115962644566764
ctarjeta_visa_trx	0.00781588140791679	0.00680797508438076	0.00855031232605603
mactivos_margen_avg6	0.00743790094164264	0.0073368493951595	0.010127404292164
mcuentas_saldo_rank	0.00740985619748117	0.0072168642819455	0.00902962459026532
mcaja_ahorro_delta2	0.00725315259870967	0.00782304372870844	0.00991094068897273
mprestamos_personales_tend6	0.0071407660067702	0.0142956583435372	0.00349434102294514
Visa_status_tend6	0.00697129645352705	0.00424839374017515	0.00208732760220174
mprestamos_personales	0.0067599627729103	0.00906202265987663	0.00357164945265632
mpayroll	0.00648189080115827	0.00683154864407422	0.00377265136990537
cpayroll_trx	0.0064785718790921	0.00448238608376683	0.0010977797018987
mprestamos_personales_rank	0.00627498534064633	0.0108954367817465	0.00980270888737708
cpayroll_trx_rank	0.00625222746580621	0.00817103368860455	0.00890593110272744
Master_fechaalta_rank	0.00622557058117492	0.0110354790703866	0.0186004081885089
mcuentas_saldo_delta2	0.00616184480978805	0.00973965552601023	0.0115344177129074
mcuentas_saldo_tend6	0.00602664870800603	0.00782594022711461	0.0110241820768137
cproductos_rank	0.00599028656070866	0.0109155719051203	0.0116271878285608
mcomisiones_mantenimiento_tend6	0.0059892715095295	0.0081600569314061	0.00725153070690828
mv_msaldototal	0.00597291758815316	0.00997549850474759	0.00950893685447461
cproductos_delta2	0.00597084753348655	0.00761043530265096	0.00188632568495269
mv_mpagominimo_lag2	0.0059132696458531	0.00875249195114595	0.0101428659781063
tmobile_app_rank	0.00586562762844169	0.0182839550168044	0.0109623353330447
ctarjeta_visa_trx_tend6	0.00538342877571352	0.00782190068935375	0.00881316098707403
mpayroll_rank	0.00535033516329339	0.00899252355973392	0.0111169521924671
mprestamos_personales_delta2	0.00518575400160564	0.0111944851924613	0.00335518584946503
Master_fechaalta_min3	0.00516865479189781	0.00948416922072288	0.0154616859422351
mrentabilidad_avg6	0.00516261481052189	0.0103290097529552	0.0106840249860845
Visa_fultimo_cierre_avg6	0.0050175066912763	0.00805916019085249	0.00988001731708825
Visa_mfinanciacion_limite	0.00500673221122411	0.0103329833233827	0.0118745748036366
mes	0.00487594501352594	0.00884001137436569	0.00644752303791205
cliente_edad	0.00483451598060207	0.0108937339075112	0.0124311954975571
tcallcenter_tend6	0.00479943219028695	0.0160306804127976	0.00384995979961655
mdescubierto_preacordado_delta1	0.00479712238489837	0.00683695130951273	0.000726699239285052
mcomisiones_mantenimiento_rank	0.00464898324877304	0.00994113854650598	0.0128177376461129
Master_mfinanciacion_limite	0.00461559963686229	0.00985707412539367	0.0116271878285608
mtransferencias_recibidas_avg6	0.00461043671557546	0.0112081012346294	0.0113488774816006
ccaja_ahorro_rank	0.00458697256805561	0.0137321068100996	0.0102201744078174
ccomisiones_mantenimiento_tend6	0.00455102188229843	0.0138132559483858	0.00364895788236749
Master_fechaalta	0.00453971743064275	0.00934145643835235	0.0125548889850949
mrentabilidad_delta2	0.00453461852667776	0.00867003145326892	0.0128950460758241
mcaja_ahorro_dolares_delta1	0.00452727011004962	0.0129803660050174	0.00677221844269899
mactivos_margen_rank	0.00446094857047441	0.0072857821004288	0.0105757931844888
thomebanking_avg6	0.00444686124727893	0.00864434960126674	0.00786999814459769
Visa_fechaalta_tend6	0.00440536542727414	0.00946703531519925	0.00779268971488651
cpayroll_trx_min3	0.00437289528994654	0.00244450769124159	0.000726699239285052
