fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220622 213047	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	759	TRUE	0.0100002995617911	0.20067777120292	8169	297	0.0272751562313709	122258000	HT7310	806	1658475	31
20220622 220301	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	372	TRUE	0.0220900920708606	0.999739713593685	12727	956	0.0175672010127597	130250000	HT7310	806	1658475	32
20220622 225942	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	707	TRUE	0.0142438039510698	0.200703461274326	10926	1009	0.0162921186992412	132081000	HT7310	806	1658475	33
20220623 003936	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	784	TRUE	0.0102400825670245	0.347844412769203	12796	532	0.0181305633030868	132171000	HT7310	806	1658475	34
20220623 021808	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1483	TRUE	0.0108075475167355	0.204495382547153	19989	1270	0.0159206985351844	131472000	HT7310	806	1658475	35
20220623 040956	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	948	TRUE	0.0105148056750296	0.35187571991641	15048	1128	0.0156310496973451	132707000	HT7310	806	1658475	36
20220623 051641	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	903	TRUE	0.0100383237760994	0.698914270174225	16235	351	0.0173833371445227	130335000	HT7310	806	1658475	37
20220623 070739	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1000	TRUE	0.010030793440443	0.40545754311708	11312	1295	0.01315772969045	132383000	HT7310	806	1658475	38
20220623 073519	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	209	TRUE	0.0636698414844303	0.544844974797878	13968	1237	0.014303627610827	129936000	HT7310	806	1658475	39
20220623 083311	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	465	TRUE	0.0100136204765044	0.976444673164235	6009	835	0.0164450876267454	129494000	HT7310	806	1658475	40
20220623 095420	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1081	TRUE	0.0100125705377737	0.99887502687185	10966	2048	0.011890404747922	129115000	HT7310	806	1658475	41
20220623 112139	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	705	TRUE	0.0102765839686826	0.375878882343533	8462	1065	0.0153455047988824	131796000	HT7310	806	1658475	42
20220623 130852	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1154	TRUE	0.0102246034217837	0.331416735376013	14873	1655	0.0132269285428555	131554000	HT7310	806	1658475	43
20220623 141904	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1075	TRUE	0.0109182317795586	0.995483327722734	19950	2038	0.0177402392531665	130493000	HT7310	806	1658475	44
20220623 152216	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	880	TRUE	0.0102399713179004	0.84217487456864	19981	1168	0.018854964673758	130381000	HT7310	806	1658475	45
