fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220605 230539	0	0	0	1	auto	depthwise	256	0	1	0.0436293196047643	0.655603792423207	8	5	0.0161657517425216	141	13599000	87
20220605 233022	0	0	0	1	auto	depthwise	256	0	1	0.0100260368241042	0.851865273332353	10	4	0.025127423664347	590	12277000	88
20220605 235621	0	0	0	1	auto	depthwise	256	0	1	0.0101691790028632	0.831622711456171	7	4	0.0157832026799526	660	1.4e+07	89
20220606 001105	0	0	0	1	auto	depthwise	256	0	1	0.0100368475891825	0.205406139894177	2	6	0.0142038440822636	742	13347000	90
20220606 001537	0	0	0	1	auto	depthwise	256	0	1	0.0865264385742388	0.999807053617327	10	4	0.0196059464431969	68	13496000	91
20220606 004940	0	0	0	1	auto	depthwise	256	0	1	0.0100702366839169	0.602163383807603	8	13	0.0122709181624546	321	13762000	92
20220606 013047	0	0	0	1	auto	depthwise	256	0	1	0.0103520420303648	0.945467204685767	8	12	0.0199793037370572	206	12400000	93
20220606 021333	0	0	0	1	auto	depthwise	256	0	1	0.0100534927028491	0.736180708117092	10	25	0.0194182093915297	232	12927000	94
20220606 024631	0	0	0	1	auto	depthwise	256	0	1	0.0100375230141502	0.415687170291091	6	30	0.0123649610738729	243	13477000	95
20220606 025449	0	0	0	1	auto	depthwise	256	0	1	0.0395809922559737	0.978728939475477	9	4	0.0164610952479634	159	14118000	96
20220606 025834	0	0	0	1	auto	depthwise	256	0	1	0.0794461791785661	0.251858627973904	10	30	0.0198180380006864	56	12135000	97
20220606 034211	0	0	0	1	auto	depthwise	256	0	1	0.0104793233767857	0.807600710576764	10	16	0.0127291687192308	298	13359000	98
20220606 035020	0	0	0	1	auto	depthwise	256	0	1	0.0821691233369018	0.960715381111724	9	13	0.0117230097023857	27	12854000	99
20220606 040905	0	0	0	1	auto	depthwise	256	0	1	0.0101139506876926	0.812531106713433	2	4	0.0163906064171652	320	13510000	100
20220606 041928	0	0	0	1	auto	depthwise	256	0	1	0.0102572132892383	0.20022288592409	10	6	0.0288476637648825	470	12125000	101
20220606 042729	0	0	0	1	auto	depthwise	256	0	1	0.0370103935624846	0.998970062268653	8	4	0.016368157166991	131	13810000	102
20220606 043647	0	0	0	1	auto	depthwise	256	0	1	0.0104259716170147	0.208702411040209	7	4	0.0121519746671839	651	13659000	103
20220606 044322	0	0	0	1	auto	depthwise	256	0	1	0.0440337401149686	0.89975228324883	10	4	0.0197290040033058	123	13187000	104
20220606 044635	0	0	0	1	auto	depthwise	256	0	1	0.0981416400006479	0.835916035902687	9	2	0.0164399395243045	171	13309000	105
20220606 050428	0	0	0	1	auto	depthwise	256	0	1	0.0101150808358162	0.202796474754197	4	4	0.0155250491167295	1695	13748000	106
20220606 050731	0	0	0	1	auto	depthwise	256	0	1	0.18580991075043	0.998163949241988	10	4	0.0165784004274308	40	13035000	107
20220606 051515	0	0	0	1	auto	depthwise	256	0	1	0.0560287060419433	0.999578232224476	10	4	0.0312004592840603	174	11529000	108
20220606 051623	0	0	0	1	auto	depthwise	256	0	1	0.299773905092281	0.200731938395457	0	2	0.011320596398306	119	11815000	109
20220606 052825	0	0	0	1	auto	depthwise	256	0	1	0.0449139746302503	0.759013700019286	10	16	0.0279109956517156	78	10869000	110
