Feature	Gain	Cover	Frequency
ctrx_quarter	0.210422101763512	0.0322271826753814	0.0218181818181818
mpasivos_margen	0.0825252383403132	0.032970831484947	0.0298181818181818
cpayroll_trx	0.0663435968822565	0.0146283724313547	0.00436363636363636
mtarjeta_visa_consumo	0.036188652923027	0.0159905195640835	0.0101818181818182
mpayroll	0.031998580750298	0.0296615378235138	0.00945454545454546
mactivos_margen	0.0273670824612697	0.0315317120981752	0.0341818181818182
mrentabilidad_annual	0.0242376689244293	0.0371109088058774	0.0370909090909091
Master_Fvencimiento	0.0228783646420924	0.027001606665349	0.0385454545454545
numero_de_cliente	0.0226652491684338	0.0298083650927286	0.0414545454545455
mcuentas_saldo	0.0225674890062412	0.0345919879428499	0.0334545454545455
mprestamos_personales	0.0219806969810641	0.0192369556879852	0.00945454545454546
chomebanking_trx	0.0206301610652083	0.0215197929472029	0.0298181818181818
cliente_edad	0.0200873626341292	0.0314778879792111	0.0421818181818182
cliente_antiguedad	0.0192782077326856	0.0161733778550842	0.0254545454545455
Visa_Fvencimiento	0.0185200629350741	0.0199704247929153	0.0312727272727273
Visa_fechaalta	0.0181085441358612	0.0133981850664486	0.0254545454545455
mcaja_ahorro	0.0166275414842439	0.0106865170564886	0.0218181818181818
Master_fechaalta	0.015467745429156	0.0248916190799692	0.0298181818181818
mrentabilidad	0.0153956784357271	0.0200879105605334	0.0283636363636364
mtransferencias_recibidas	0.0147954661449544	0.0164876313252472	0.0261818181818182
Visa_mfinanciacion_limite	0.0145490469928071	0.0247580168724071	0.0276363636363636
Visa_msaldototal	0.0129458797905755	0.00562332016695468	0.00727272727272727
Visa_mconsumospesos	0.0121617437537778	0.0137613182276097	0.0203636363636364
mcomisiones_otras	0.0114717388000263	0.018717670990338	0.0210909090909091
mcuenta_corriente	0.0114217730338177	0.0127099001631028	0.0189090909090909
mcaja_ahorro_dolares	0.0102663673317737	0.0206927047771198	0.0203636363636364
Visa_mpagospesos	0.00937618001101774	0.00886364846807507	0.0138181818181818
Master_mfinanciacion_limite	0.00907634556625637	0.0136565784767203	0.0181818181818182
Visa_mpagominimo	0.00828056071425897	0.0123297437983913	0.0167272727272727
mtransferencias_emitidas	0.00814969295094958	0.0107072699669474	0.0152727272727273
mcomisiones	0.00762466721638786	0.00871406669054706	0.0130909090909091
mpagomiscuentas	0.00750071505400099	0.0120872786318436	0.00872727272727273
Master_mpagospesos	0.00746787072268773	0.0228519997721799	0.0130909090909091
Master_mlimitecompra	0.00709150139386257	0.0102750516842424	0.0123636363636364
ctransferencias_recibidas	0.00701226824914327	0.0107412137215643	0.0101818181818182
cproductos	0.00694808298540805	0.0122672113270583	0.0116363636363636
mcuenta_debitos_automaticos	0.00646663022098501	0.0134822232331211	0.00945454545454546
ctarjeta_visa_trx	0.00610683578910867	0.0154056570380861	0.0109090909090909
Visa_mlimitecompra	0.00594694950154761	0.00599842945121657	0.00945454545454546
Visa_mconsumototal	0.00577266247727863	0.00809375484017154	0.00945454545454546
mtarjeta_visa_debitos_automaticos	0.00576545326305374	0.0174258921351995	0.0130909090909091
ccomisiones_otras	0.00515697676174168	0.0116461638005494	0.00945454545454546
ctarjeta_visa_trx2	0.00504248417855734	0.00615695910357555	0.008
Visa_msaldopesos	0.0048001263260389	0.0143532979924784	0.0101818181818182
Visa_mconsumosdolares	0.00477358676301953	0.00784247866877111	0.00727272727272727
ctarjeta_debito_trx	0.00429937035332628	0.0058903534946062	0.00654545454545455
Master_msaldopesos	0.00424439539188853	0.0133020510154444	0.008
mcomisiones_mantenimiento	0.00422796791967619	0.00886441836170297	0.00727272727272727
Visa_mpagado	0.00422188316488392	0.011626625611148	0.008
ccaja_ahorro	0.00415727400099203	0.0154531338118068	0.00509090909090909
Visa_cconsumos	0.00304788009828283	0.00414984641563104	0.00727272727272727
ccallcenter_trx	0.0029431179316784	0.0104994329049081	0.00509090909090909
cpagomiscuentas	0.00291791043845159	0.00832095900413951	0.00509090909090909
ctarjeta_visa_debitos_automaticos	0.00285211518339122	0.00604501657007838	0.00581818181818182
mautoservicio	0.00244435958576074	0.00267062412521906	0.00436363636363636
ccuenta_debitos_automaticos	0.00226714718522388	0.00901820889106352	0.00509090909090909
Master_mconsumospesos	0.00226580954644833	0.00410197614072273	0.00581818181818182
ccaja_seguridad	0.00217699275381741	0.0129504662587017	0.00363636363636364
ctarjeta_debito	0.00215846430542487	0.00325555508620559	0.00436363636363636
Master_mpagominimo	0.00197535844300403	0.00258312999159464	0.00290909090909091
catm_trx	0.0018614803098011	0.00568085688408001	0.00290909090909091
Master_cconsumos	0.0018304455719975	0.00578965140807642	0.00290909090909091
mextraccion_autoservicio	0.00180455738109578	0.00834655369008048	0.00436363636363636
mplazo_fijo_dolares	0.00178093418618282	0.0111051681025953	0.00363636363636364
thomebanking	0.00176639703010956	0.00137708306911012	0.00218181818181818
Master_msaldodolares	0.00171724770553626	0.000622142486335201	0.000727272727272727
cseguro_accidentes_personales	0.00168816363109517	0.0133997761799462	0.00509090909090909
Master_msaldototal	0.00160670977982377	0.00211640336561224	0.00218181818181818
ctransferencias_emitidas	0.00132853835017119	0.00158471482618206	0.00290909090909091
Master_fultimo_cierre	0.00114633998888729	0.00268559427909496	0.00290909090909091
mtarjeta_master_consumo	0.00112803097941876	0.00685008578240346	0.00363636363636364
matm	0.00111636007612978	0.00422156628425708	0.00218181818181818
cplazo_fijo	0.00100424391831706	0.00226653262305342	0.000727272727272727
ccomisiones_mantenimiento	0.000884884502556051	0.000510353931563608	0.00145454545454545
mtarjeta_visa_descuentos	0.000711390240695091	0.00698741769687416	0.00436363636363636
ctarjeta_master_trx	0.000574015363851706	0.000222567693453268	0.000727272727272727
cextraccion_autoservicio	0.000570853104152087	0.0036614772243309	0.00218181818181818
tcallcenter	0.000485563648994614	0.00128046997318187	0.000727272727272727
