Feature	Gain	Cover	Frequency
ctrx_quarter	0.198887947555914	0.0338306935547456	0.0296774193548387
mpasivos_margen	0.0829742752720009	0.0269647959568982	0.0309677419354839
cpayroll_trx	0.065013456219632	0.0195208994679132	0.00709677419354839
mtarjeta_visa_consumo	0.0485340260824242	0.0207389415283922	0.0167741935483871
mpayroll	0.0309724933337322	0.0303428479280887	0.0135483870967742
mrentabilidad_annual	0.0270141280133252	0.0313269448035619	0.0354838709677419
mcuentas_saldo	0.0241790058185724	0.0355193495731909	0.0348387096774194
Master_fechaalta	0.0230994900845937	0.0290475063482034	0.0374193548387097
cliente_edad	0.0228932982050968	0.0339513343321817	0.0419354838709678
mprestamos_personales	0.0226923166431486	0.019637966520114	0.00967741935483871
chomebanking_trx	0.0218410353903568	0.0211865702932153	0.0290322580645161
mactivos_margen	0.0194263450049929	0.0232041822094196	0.0174193548387097
Visa_fechaalta	0.0192327043099338	0.0147773066180527	0.0251612903225806
Master_Fvencimiento	0.0172526216071275	0.0310645357629375	0.0309677419354839
mcaja_ahorro	0.0162941316499121	0.0148624620356635	0.0225806451612903
mcuenta_corriente	0.0154085924477167	0.0140402848255864	0.02
Visa_mfinanciacion_limite	0.0153071194890594	0.0283207649195196	0.0283870967741936
Visa_Fvencimiento	0.0153055385463077	0.0215051985973428	0.0283870967741936
cliente_antiguedad	0.0152163147582544	0.0180606469988666	0.0212903225806452
mrentabilidad	0.0146254751231357	0.0156306870149859	0.0251612903225806
Visa_mpagominimo	0.0145374224470637	0.0105362393607484	0.0180645161290323
Master_mfinanciacion_limite	0.0141378870216307	0.016319628821247	0.0225806451612903
mcomisiones	0.0139062870089777	0.0135718119541046	0.0206451612903226
Visa_mconsumospesos	0.0137347393931943	0.0144941164439016	0.0245161290322581
mcaja_ahorro_dolares	0.0132662498564499	0.0178887775786305	0.0219354838709677
numero_de_cliente	0.0126324671523902	0.0198230288114831	0.0245161290322581
Visa_mpagospesos	0.0119753637918466	0.0115245082062099	0.02
Visa_msaldopesos	0.010381827358632	0.021506284883868	0.0238709677419355
mtransferencias_emitidas	0.00956314960807486	0.0112891618690193	0.0154838709677419
mcomisiones_otras	0.00948239370776942	0.0100708049428808	0.0154838709677419
ctarjeta_visa_trx	0.00851972022014127	0.0108019544907974	0.0109677419354839
ctransferencias_recibidas	0.00684379825003756	0.0104237536038933	0.00774193548387097
Visa_msaldototal	0.00671992075892963	0.00694240995310501	0.00903225806451613
Master_mpagospesos	0.00659263240496928	0.0250214608497692	0.012258064516129
cproductos	0.00617177946721988	0.00764633936475822	0.00774193548387097
mpagomiscuentas	0.00611981462778484	0.0131425870870791	0.00967741935483871
ccomisiones_otras	0.00599205151136477	0.00827430743605791	0.00709677419354839
ctarjeta_visa_trx2	0.0057956212668408	0.0101860457742565	0.0135483870967742
Visa_mlimitecompra	0.00557443761648549	0.0171407512313648	0.012258064516129
Visa_mconsumototal	0.00539246763111528	0.00225144689822926	0.00580645161290323
Master_mlimitecompra	0.00525980598346037	0.0107350927680034	0.0103225806451613
mtransferencias_recibidas	0.00524886635846374	0.00712827515190576	0.00967741935483871
Visa_mpagado	0.00484797911315453	0.0156110393978333	0.0103225806451613
mautoservicio	0.0047639005524024	0.0116947560682996	0.012258064516129
mcomisiones_mantenimiento	0.0046835181366059	0.00895204002484101	0.00838709677419355
ccaja_ahorro	0.00457811000039598	0.015581819864632	0.00516129032258065
ctarjeta_debito	0.00433298669099296	0.0067470830412364	0.00903225806451613
ctarjeta_debito_trx	0.00403045211645569	0.0118477807788149	0.0129032258064516
cseguro_accidentes_personales	0.0037295137180725	0.0075284851484087	0.00451612903225807
mtarjeta_visa_debitos_automaticos	0.00368755981334816	0.00914637510988221	0.00967741935483871
Master_msaldopesos	0.00344890838570439	0.0123493460311097	0.00580645161290323
