Feature	Gain	Cover	Frequency
cextraccion_autoservicio	0.177211224202042	0.0657806903502151	0.0192028985507246
mtransferencias_recibidas	0.118992869698952	0.0100368670111002	0.0144927536231884
mpayroll	0.114323140428834	0.0897113588912851	0.0271739130434783
Visa_fechaalta	0.0572353412745546	0.00462121960304312	0.0170289855072464
matm_other	0.055920834184795	0.00275830216990245	0.00434782608695652
Master_Fvencimiento	0.0533794479036316	0.0211626849246509	0.0304347826086957
catm_trx	0.0531588669304696	0.0159327581016369	0.0115942028985507
chomebanking_trx	0.0528608434064944	0.0111942156856192	0.0221014492753623
Visa_msaldopesos	0.0318719085033397	0.012180279643483	0.0152173913043478
mtransferencias_emitidas	0.029544554399209	0.00460057003478385	0.0134057971014493
mextraccion_autoservicio	0.0271327310408914	0.00836638598003526	0.0195652173913044
mcaja_ahorro	0.0188556615967937	0.00313586289289216	0.0141304347826087
ctarjeta_debito_trx	0.0150385539157098	0.00311414632566509	0.0105072463768116
Visa_mconsumospesos	0.0129812836508251	0.0123115675900068	0.0155797101449275
Master_cconsumos	0.0123227223708067	0.00837550254474546	0.00652173913043478
mpasivos_margen	0.0123149255400146	0.024893948932739	0.0213768115942029
Master_fechaalta	0.0102673592477031	0.0109596328243152	0.0239130434782609
ccajas_depositos	0.0102177851695155	0.00030500479317904	0.00181159420289855
Visa_mpagospesos	0.00995243340594562	0.00255808295182628	0.0148550724637681
Visa_cconsumos	0.009881114308208	0.000846004652178264	0.00615942028985507
mcuentas_saldo	0.00976125188125358	0.0196730916009513	0.025
Visa_Fvencimiento	0.00901577659778983	0.0063906490972106	0.0282608695652174
mcaja_ahorro_dolares	0.00879006922714722	0.0146424268351747	0.013768115942029
ctarjeta_visa_debitos_automaticos	0.00788147727574231	0.0125526622832466	0.00688405797101449
mcomisiones	0.00689146139860887	0.00697266565182512	0.013768115942029
Master_mpagospesos	0.0063647595546321	0.015393876549412	0.0152173913043478
Master_mpagominimo	0.00604234941392878	0.00485355862828245	0.00760869565217391
mcomisiones_otras	0.00576097251798235	0.00312636974031097	0.00905797101449275
Visa_mpagado	0.00487137080649432	0.00507794223474712	0.0072463768115942
catm_trx_other	0.00429750444212523	0.018045368984405	0.00905797101449275
cliente_antiguedad	0.00416206146592983	0.00324174684928542	0.0155797101449275
Visa_mpagominimo	0.00415739404823641	0.00342152048419911	0.00942028985507246
Master_mfinanciacion_limite	0.00405519223994305	0.00439430971961056	0.016304347826087
cliente_edad	0.0039755539263661	0.0136181235172441	0.0307971014492754
mrentabilidad_annual	0.00327815086135758	0.0235027391903355	0.027536231884058
mttarjeta_master_debitos_automaticos	0.00317467785597438	0.00130434347349526	0.00471014492753623
Visa_msaldototal	0.00308148315400129	0.0057026230569125	0.00833333333333333
ctrx_quarter	0.00276033188812291	0.0950088361636579	0.0322463768115942
