fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220605 022745	0	0	0	1	hist	lossguide	256	0	1	0.28651446401435	0.999649552215794	10	2	0.0201257120142103	142	13048000	98
20220605 023027	0	0	0	1	hist	lossguide	256	0	1	0.0118073397804028	0.342806124334502	5	414	0.0113060392596475	59	12974000	99
20220605 023339	0	0	0	1	hist	lossguide	256	0	1	0.0101267419999118	0.725379061137125	8	263	0.0129312923483863	137	13449000	100
20220605 023713	0	0	0	1	hist	lossguide	256	0	1	0.0102648354782963	0.826378196929501	9	420	0.0122907273646196	280	13320000	101
20220605 023753	0	0	0	1	hist	lossguide	256	0	1	0.0992246196043063	0.528550987513095	2	2	0.0124078421155678	243	12948000	102
20220605 024125	0	0	0	1	hist	lossguide	256	0	1	0.0101200221595842	0.462161641688591	8	348	0.0129373192325172	261	13347000	103
20220605 024209	0	0	0	1	hist	lossguide	256	0	1	0.0778208178930889	0.72501010091801	8	2	0.0157242754411988	199	13333000	104
20220605 024507	0	0	0	1	hist	lossguide	256	0	1	0.0101254646431592	0.661362012549094	5	3	0.0127841655959726	931	13161000	105
20220605 024832	0	0	0	1	hist	lossguide	256	0	1	0.0100649700476395	0.410702450730657	9	600	0.0127354902889284	269	13402000	106
20220605 025223	0	0	0	1	hist	lossguide	256	0	1	0.0100409363868759	0.721906870972513	6	324	0.0106579964263563	236	13384000	107
20220605 025326	0	0	0	1	hist	lossguide	256	0	1	0.106329067524966	0.95933012146143	10	2	0.0214641848701619	412	13292000	108
20220605 025655	0	0	0	1	hist	lossguide	256	0	1	0.010189366828092	0.63304688867726	10	963	0.0108611726605466	295	13166000	109
20220605 025730	0	0	0	1	hist	lossguide	256	0	1	0.158042768939149	0.774106368523776	10	2	0.020712408755875	203	12884000	110
20220605 030225	0	0	0	1	hist	lossguide	256	0	1	0.0107704882892296	0.879567645051479	10	3	0.0224333737774978	1949	12505000	111
20220605 030300	0	0	0	1	hist	lossguide	256	0	1	0.101655414370203	0.688868423356455	8	2	0.0115461941965164	187	12751000	112
20220605 030716	0	0	0	1	hist	lossguide	256	0	1	0.0100192869652756	0.200596496802755	4	972	0.0284983180269119	262	9877000	113
20220605 030739	0	0	0	1	hist	lossguide	256	0	1	0.225902741454386	0.487974132933389	9	2	0.0145756679452874	95	12798000	114
20220605 030956	0	0	0	1	hist	lossguide	256	0	1	0.0102989438229886	0.52614594486513	3	2	0.0131718468955031	757	12595000	115
20220605 031044	0	0	0	1	hist	lossguide	256	0	1	0.0608559091720737	0.662720249778428	2	4	0.0164607392198099	206	13171000	116
20220605 031112	0	0	0	1	hist	lossguide	256	0	1	0.183795033875856	0.835812563999372	5	2	0.0116895098533116	138	12936000	117
20220605 031132	0	0	0	1	hist	lossguide	256	0	1	0.162626913594459	0.201616144477439	4	4	0.0114097666266387	38	12326000	118
20220605 031455	0	0	0	1	hist	lossguide	256	0	1	0.0100414348076255	0.445352793207244	10	80	0.0123442564537965	273	13320000	119
20220605 031808	0	0	0	1	hist	lossguide	256	0	1	0.0101288214245098	0.720304955217122	10	771	0.0128118613438109	204	13557000	120
