fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220604 222925	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.230051955855149	0.316633951007672	7996	135	0.0165755507940954	12894000	106
20220604 222933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.299024408936206	0.967872428075708	7971	46	0.0130035741265585	12322000	107
20220604 222948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.0844887524471457	0.268405557167918	7990	16	0.0213232973530194	12667000	108
20220604 223004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.0954324140546495	0.320615127165261	4452	765	0.0163870379239963	13011000	109
20220604 223029	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0566362102363087	0.396128410664948	5255	1023	0.0129137932632663	13043000	110
20220604 223043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0673256302204713	0.704585230261669	7773	17	0.0141998852168612	13071000	111
20220604 223059	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.119104784160128	0.537945522879084	4474	16	0.0164073008091383	13341000	112
20220604 223114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.120025747047193	0.35245662443368	7062	695	0.0166843477014866	13050000	113
20220604 223129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.115000192703316	0.642955718360934	5225	26	0.0227560926218994	12618000	114
20220604 223332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	913	TRUE	0.0100725984914645	0.241338333755027	2784	506	0.0232711736836427	12831000	115
20220604 223345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.287180374065012	0.992994120687633	8000	164	0.0192980691739305	12730000	116
20220604 223355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.299919308384068	0.201173308869639	6733	530	0.019317172352085	12822000	117
20220604 223406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.27451486575353	0.200408519552187	7987	418	0.0143092544126063	12784000	118
20220604 223416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.299953795667125	0.225611392109696	5873	21	0.0102779132455448	11614000	119
20220604 223424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.25507140031332	0.882045054645922	6980	18	0.0150237763883358	12208000	120
